Časovna Značka (CEST/CET);Poraba [kWh];Dinamične Cene [EUR/kWh]
2024-08-04T10:00:00+02:00;4,95;0,00805
2024-08-04T10:15:00+02:00;4,75;0,00805
2024-08-04T10:30:00+02:00;5,375;0,00805
2024-08-04T10:45:00+02:00;4,625;0,00805
2024-08-04T11:00:00+02:00;5,125;0,00205
2024-08-04T11:15:00+02:00;2,475;0,00205
2024-08-04T11:30:00+02:00;2,125;0,00205
2024-08-04T11:45:00+02:00;5,05;0,00205
2024-08-04T12:00:00+02:00;3,1;0,00006
2024-08-04T12:15:00+02:00;4,775;0,00006
2024-08-04T12:30:00+02:00;4,1;0,00006
2024-08-04T12:45:00+02:00;3,6;0,00006
2024-08-04T13:00:00+02:00;2,625;-0,00005
2024-08-04T13:15:00+02:00;3,25;-0,00005
2024-08-04T13:30:00+02:00;2,075;-0,00005
2024-08-04T13:45:00+02:00;2,875;-0,00005
2024-08-04T14:00:00+02:00;4,6;-0,00216
2024-08-04T14:15:00+02:00;4,325;-0,00216
2024-08-04T14:30:00+02:00;3,275;-0,00216
2024-08-04T14:45:00+02:00;2,225;-0,00216
2024-08-04T15:00:00+02:00;2,35;0,00001
2024-08-04T15:15:00+02:00;2,625;0,00001
2024-08-04T15:30:00+02:00;2,625;0,00001
2024-08-04T15:45:00+02:00;3,125;0,00001
2024-08-04T16:00:00+02:00;2,625;0,00197
2024-08-04T16:15:00+02:00;2,725;0,00197
2024-08-04T16:30:00+02:00;3,95;0,00197
2024-08-04T16:45:00+02:00;7,6;0,00197
2024-08-04T17:00:00+02:00;0,425;0,04347
2024-08-04T17:15:00+02:00;0;0,04347
2024-08-04T17:30:00+02:00;0,6;0,04347
2024-08-04T17:45:00+02:00;3,2;0,04347
2024-08-04T18:00:00+02:00;6,475;0,08676
2024-08-04T18:15:00+02:00;0,075;0,08676
2024-08-04T18:30:00+02:00;1,275;0,08676
2024-08-04T18:45:00+02:00;7,325;0,08676
2024-08-04T19:00:00+02:00;16,275;0,12229
2024-08-04T19:15:00+02:00;28,25;0,12229
2024-08-04T19:30:00+02:00;38,075;0,12229
2024-08-04T19:45:00+02:00;44,6;0,12229
2024-08-04T20:00:00+02:00;43,75;0,15039
2024-08-04T20:15:00+02:00;51,7;0,15039
2024-08-04T20:30:00+02:00;48,385;0,15039
2024-08-04T20:45:00+02:00;45,9575;0,15039
2024-08-04T21:00:00+02:00;47,0075;0,13843
2024-08-04T21:15:00+02:00;48,2825;0,13843
2024-08-04T21:30:00+02:00;48,4575;0,13843
2024-08-04T21:45:00+02:00;54,2575;0,13843
2024-08-04T22:00:00+02:00;48,5825;0,11795
2024-08-04T22:15:00+02:00;49,4075;0,11795
2024-08-04T22:30:00+02:00;47,4325;0,11795
2024-08-04T22:45:00+02:00;46,7575;0,11795
2024-08-04T23:00:00+02:00;47,6075;0,09917
2024-08-04T23:15:00+02:00;47,7075;0,09917
2024-08-04T23:30:00+02:00;45,7325;0,09917
2024-08-04T23:45:00+02:00;47,9575;0,09917
2024-08-05T00:00:00+02:00;42,0075;0,08991
2024-08-05T00:15:00+02:00;47,0825;0,08991
2024-08-05T00:30:00+02:00;44,4825;0,08991
2024-08-05T00:45:00+02:00;46,9825;0,08991
2024-08-05T01:00:00+02:00;41,7825;0,0747
2024-08-05T01:15:00+02:00;45,1075;0,0747
2024-08-05T01:30:00+02:00;43,9075;0,0747
2024-08-05T01:45:00+02:00;42,2575;0,0747
2024-08-05T02:00:00+02:00;40,9575;0,07362
2024-08-05T02:15:00+02:00;44,7075;0,07362
2024-08-05T02:30:00+02:00;42,9325;0,07362
2024-08-05T02:45:00+02:00;42,8575;0,07362
2024-08-05T03:00:00+02:00;41,5075;0,07379
2024-08-05T03:15:00+02:00;44,6075;0,07379
2024-08-05T03:30:00+02:00;42,6575;0,07379
2024-08-05T03:45:00+02:00;47,9775;0,07379
2024-08-05T04:00:00+02:00;52,25;0,07305
2024-08-05T04:15:00+02:00;56,075;0,07305
2024-08-05T04:30:00+02:00;58,475;0,07305
2024-08-05T04:45:00+02:00;62,625;0,07305
2024-08-05T05:00:00+02:00;60,6;0,09117
2024-08-05T05:15:00+02:00;65,05;0,09117
2024-08-05T05:30:00+02:00;70,5;0,09117
2024-08-05T05:45:00+02:00;92,955;0,09117
2024-08-05T06:00:00+02:00;144,76;0,1089
2024-08-05T06:15:00+02:00;156,1;0,1089
2024-08-05T06:30:00+02:00;164,75;0,1089
2024-08-05T06:45:00+02:00;161,25;0,1089
2024-08-05T07:00:00+02:00;142,425;0,118
2024-08-05T07:15:00+02:00;135,25;0,118
2024-08-05T07:30:00+02:00;126,7;0,118
2024-08-05T07:45:00+02:00;127,15;0,118
2024-08-05T08:00:00+02:00;104,875;0,11286
2024-08-05T08:15:00+02:00;94,7;0,11286
2024-08-05T08:30:00+02:00;65,975;0,11286
2024-08-05T08:45:00+02:00;93,725;0,11286
2024-08-05T09:00:00+02:00;84,25;0,10181
2024-08-05T09:15:00+02:00;66,575;0,10181
2024-08-05T09:30:00+02:00;48;0,10181
2024-08-05T09:45:00+02:00;36,7;0,10181
2024-08-05T10:00:00+02:00;13,95;0,08533
2024-08-05T10:15:00+02:00;2,225;0,08533
2024-08-05T10:30:00+02:00;2,3;0,08533
2024-08-05T10:45:00+02:00;0,925;0,08533
2024-08-05T11:00:00+02:00;1,525;0,09124
2024-08-05T11:15:00+02:00;0;0,09124
2024-08-05T11:30:00+02:00;0,025;0,09124
2024-08-05T11:45:00+02:00;0;0,09124
2024-08-05T12:00:00+02:00;0,025;0,11531
2024-08-05T12:15:00+02:00;0;0,11531
2024-08-05T12:30:00+02:00;0,65;0,11531
2024-08-05T12:45:00+02:00;1,125;0,11531
2024-08-05T13:00:00+02:00;13,375;0,11038
2024-08-05T13:15:00+02:00;27,7;0,11038
2024-08-05T13:30:00+02:00;14,4;0,11038
